"","X","Tip","Ecto_spp","Genus","Plot","Site","Salix.spp","Ind","abund","mean","Phylum","Order","...1","Ecto_ID","Species","Subspecies","Rhizomorph","Foraging_distance","Accession_No","Notes","Tree_site"
"86",474,945,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"87",480,953,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"88",481,954,"Hebeloma_cf._atrobrunneum","Hebeloma",7,"34","PET","34PET2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","34PET"
"89",515,1030,"Cortinarius3","Cortinarius",12,"49","DIS","49DIS1",1,0.1,"Basidiomycota","Agaricales",13,"Cortinarius croceus","croceus",NA,NA,NA,"KT275636.1","97% similar","49DIS"
"90",516,1031,"Cortinarius3","Cortinarius",12,"49","DIS","49DIS1",1,0.1,"Basidiomycota","Agaricales",13,"Cortinarius croceus","croceus",NA,NA,NA,"KT275636.1","97% similar","49DIS"
"91",522,1037,"Cortinarius3","Cortinarius",12,"49","DIS","49DIS1",1,0.1,"Basidiomycota","Agaricales",13,"Cortinarius croceus","croceus",NA,NA,NA,"KT275636.1","97% similar","49DIS"
"92",559,1075,"Hebeloma2","Hebeloma",12,"49","PED","49PED1",1,0.1,"Basidiomycota","Agaricales",14,"Hebeloma leucosarx","leucosarx",NA,NA,NA,"KT275625.1","99% similar, velutipes 99.58% similar","49PED"
"93",566,1084,"Hebeloma2","Hebeloma",12,"49","PED","49PED1",1,0.1,"Basidiomycota","Agaricales",14,"Hebeloma leucosarx","leucosarx",NA,NA,NA,"KT275625.1","99% similar, velutipes 99.58% similar","49PED"
"94",583,1104,"Hebeloma_cf._atrobrunneum","Hebeloma",11,"68","PET","68PET2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","68PET"
"95",586,1110,"Hebeloma_cf._atrobrunneum","Hebeloma",11,"68","PET","68PET2",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","68PET"
"96",587,1111,"Inocybe_glabrescens","Inocybe",11,"68","SER","68SER1",1,-0.1,"Basidiomycota","Agaricales",11,"Inocybe glabrescens","glabrescens",NA,NA,NA,"KT275657.1","97% similar or flocculoso or abjecta","68SER"
"97",588,1112,"Inocybe3","Inocybe",11,"68","SER","68SER1",1,-0.1,"Basidiomycota","Agaricales",15,"Inocybe semifulva","semifulva",NA,NA,NA,"KT275638.1","95% similar, may also be flocculosa, tigrina","68SER"
"98",589,1116,"Inocybe3","Inocybe",11,"68","SER","68SER1",1,-0.1,"Basidiomycota","Agaricales",15,"Inocybe semifulva","semifulva",NA,NA,NA,"KT275638.1","95% similar, may also be flocculosa, tigrina","68SER"
