"","Tip","Ecto_spp","type","trait","Plot","Site","Salix.spp","Ind","Plspp","mean","...1","Ecto_ID","Species","Rhizomorph","Foraging_distance","Genus","em_expl","Ectomycorrhiza_exploration_type_template"
"66",404,"Sebacina3","short","exploration_type",4,"26","BEB","26BEB1","26BEB",-0.4,49,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"67",408,"Sebacina3","short","exploration_type",4,"26","BEB","26BEB1","26BEB",-0.4,49,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"68",412,"Sebacina3","short","exploration_type",4,"26","BEB","26BEB1","26BEB",-0.4,49,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"69",413,"Sebacina3","short","exploration_type",4,"26","BEB","26BEB1","26BEB",-0.4,49,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"70",799,"Sebacina11","short","exploration_type",9,"40","PET","40PET2","40PET",-0.1,52,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"71",801,"Sebacina_4","short","exploration_type",9,"40","PET","40PET2","40PET",-0.1,53,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"72",803,"Sebacina_6","short","exploration_type",9,"40","PET","40PET2","40PET",-0.1,54,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"73",805,"Sebacina11","short","exploration_type",9,"40","PET","40PET2","40PET",-0.1,52,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"74",807,"Sebacina_6","short","exploration_type",9,"40","PET","40PET2","40PET",-0.1,54,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"75",808,"Sebacina_4","short","exploration_type",9,"40","PET","40PET2","40PET",-0.1,53,"Sebacina sp.","sp.",NA,NA,"Sebacina","SD ","short-distance_delicate"
"76",6,"Tomentella21","medium","exploration_type",6,"89","DIS","BB-3N","89DIS",-0.3,57,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"77",15,"Tomentella2","medium","exploration_type",6,"89","DIS","BB-3M","89DIS",-0.3,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"78",52,"Tomentella5","medium","exploration_type",6,"89","PET","BB-2a","89PET",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"79",54,"Tomentella5","medium","exploration_type",6,"89","PET","BB-2a","89PET",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"80",56,"Tomentella5","medium","exploration_type",6,"89","PET","BB-2a","89PET",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
